City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Atuona,-9.8,-139.0333,78.1,78,64,17.36,PF,2022-02-02 17:21:41
68,Talnakh,69.4865,88.3972,-0.8,98,96,6.49,RU,2022-02-02 17:20:00
69,Inhambane,-23.865,35.3833,82.38,78,20,9.22,MZ,2022-02-02 17:24:25
70,Sisimiut,66.9395,-53.6735,0.39,80,95,17.18,GL,2022-02-02 17:24:26
71,Nelson Bay,-32.7167,152.15,68.11,89,100,1.99,AU,2022-02-02 17:24:26
72,Arraial Do Cabo,-22.9661,-42.0278,85.96,74,20,14.97,BR,2022-02-02 17:22:51
73,Fairbanks,64.8378,-147.7164,-34.64,98,0,0.0,US,2022-02-02 17:20:03
74,Mahajanga,-15.7167,46.3167,82.42,78,20,10.36,MG,2022-02-02 17:24:27
75,Kodiak,57.79,-152.4072,35.11,93,100,4.61,US,2022-02-02 17:24:28
76,Gambela,8.25,34.5833,89.08,24,100,3.02,ET,2022-02-02 17:24:28
77,Ahipara,-35.1667,173.1667,66.51,92,100,9.98,NZ,2022-02-02 17:24:29
78,Pisco,-13.7,-76.2167,75.25,64,0,9.22,PE,2022-02-02 17:22:49
79,Kavieng,-2.5744,150.7967,78.96,85,100,13.24,PG,2022-02-02 17:23:11
80,Carnarvon,-24.8667,113.6333,80.67,74,85,5.75,AU,2022-02-02 17:24:30
81,Norman Wells,65.282,-126.8329,-34.56,61,75,2.3,CA,2022-02-02 17:24:30
82,Vila Velha,-20.3297,-40.2925,82.35,81,75,8.05,BR,2022-02-02 17:24:31
83,Xining,36.6167,101.7667,14.0,65,41,2.26,CN,2022-02-02 17:24:31
84,Dikson,73.5069,80.5464,-7.28,99,98,11.74,RU,2022-02-02 17:24:32
85,Gamba,-2.65,10.0,79.83,79,42,6.26,GA,2022-02-02 17:24:32
86,Hermanus,-34.4187,19.2345,68.81,77,14,20.22,ZA,2022-02-02 17:21:48
87,Pastavy,55.1168,26.8326,27.5,97,100,6.49,BY,2022-02-02 17:24:33
88,Chuy,-33.6971,-53.4616,84.2,47,1,10.78,UY,2022-02-02 17:24:33
89,Iqaluit,63.7506,-68.5145,6.53,84,40,17.0,CA,2022-02-02 17:25:34
90,Komsomolskiy,40.4272,71.7189,35.02,75,100,2.3,UZ,2022-02-02 17:25:34
91,Bluff,-46.6,168.3333,56.8,83,100,17.78,NZ,2022-02-02 17:25:35
92,Ati,13.2154,18.3353,74.21,12,8,10.11,TD,2022-02-02 17:25:35
93,Henties Bay,-22.116,14.2845,72.86,76,15,8.66,NA,2022-02-02 17:25:36
94,Nuuk,64.1835,-51.7216,9.21,52,75,11.5,GL,2022-02-02 17:25:36
95,Tasiilaq,65.6145,-37.6368,15.96,77,100,9.19,GL,2022-02-02 17:25:37
96,Hasaki,35.7333,140.8333,27.0,37,2,2.91,JP,2022-02-02 17:25:37
97,Qaanaaq,77.484,-69.3632,-23.4,65,30,8.61,GL,2022-02-02 17:25:38
98,Las Vegas,36.175,-115.1372,45.28,21,0,21.85,US,2022-02-02 17:25:39
99,Lakes Entrance,-37.8811,147.981,55.58,77,83,9.19,AU,2022-02-02 17:25:39
100,Ilulissat,69.2167,-51.1,3.22,85,75,21.85,GL,2022-02-02 17:23:54
101,Kiama,-34.6833,150.8667,64.38,77,100,5.01,AU,2022-02-02 17:25:40
102,Kishi,9.0833,3.85,90.95,9,99,3.15,NG,2022-02-02 17:25:40
103,Nikolskoye,59.7035,30.7861,22.89,100,96,1.34,RU,2022-02-02 17:25:17
104,Faanui,-16.4833,-151.75,80.56,76,21,19.62,PF,2022-02-02 17:22:30
105,Baherden,38.4362,57.4316,50.45,36,0,7.4,TM,2022-02-02 17:25:41
106,Tahoua,14.8888,5.2692,82.38,5,1,11.5,NE,2022-02-02 17:25:42
107,Champerico,14.3,-91.9167,88.34,60,0,6.93,GT,2022-02-02 17:22:52
108,Antigonish,45.6169,-61.9986,32.27,72,70,8.99,CA,2022-02-02 17:25:43
109,Putina,-15.4667,-69.4333,48.36,68,91,2.39,PE,2022-02-02 17:25:43
110,Avarua,-21.2078,-159.775,78.85,89,75,14.97,CK,2022-02-02 17:21:02
111,Wexford,52.3342,-6.4575,52.12,86,100,7.87,IE,2022-02-02 17:23:07
112,Vardo,70.3705,31.1107,44.8,80,75,13.8,NO,2022-02-02 17:25:44
113,Torbay,47.6666,-52.7314,29.75,79,75,9.22,CA,2022-02-02 17:25:45
114,Hobart,-42.8794,147.3294,53.46,75,100,8.05,AU,2022-02-02 17:25:45
115,Castro,-24.7911,-50.0119,77.76,63,75,4.56,BR,2022-02-02 17:20:52
116,Aitape,-3.1374,142.3475,77.72,82,100,2.28,PG,2022-02-02 17:25:46
117,Sweetwater,25.7634,-80.3731,78.82,62,20,3.0,US,2022-02-02 17:25:47
118,Guerrero Negro,27.9769,-114.0611,59.97,64,89,11.52,MX,2022-02-02 17:25:47
119,Sosenskiy,54.059,35.9623,19.11,97,98,5.14,RU,2022-02-02 17:25:48
120,Grand-Santi,4.25,-54.3833,80.31,84,75,4.81,GF,2022-02-02 17:25:48
121,Tuktoyaktuk,69.4541,-133.0374,-25.6,68,20,10.36,CA,2022-02-02 17:21:36
122,San Rafael,-34.6177,-68.3301,77.41,52,92,9.48,AR,2022-02-02 17:25:49
123,Provideniya,64.3833,-173.3,5.27,65,0,23.24,RU,2022-02-02 17:25:28
124,Arlit,18.7369,7.3853,75.49,10,1,8.57,NE,2022-02-02 17:25:50
125,Jardim,-21.4803,-56.1381,86.7,54,100,2.86,BR,2022-02-02 17:25:50
126,Agadez,19.75,10.25,66.04,15,0,10.04,NE,2022-02-02 17:25:51
127,Ancud,-41.8697,-73.8203,74.43,71,98,6.62,CL,2022-02-02 17:21:47
128,Airai,-8.9266,125.4092,60.49,88,72,2.15,TL,2022-02-02 17:23:59
129,Victoria,22.2855,114.1577,60.94,94,100,4.0,HK,2022-02-02 17:25:51
130,Cherskiy,68.75,161.3,-8.55,64,36,2.01,RU,2022-02-02 17:25:52
131,Cananea,30.95,-110.3,48.74,43,79,14.14,MX,2022-02-02 17:25:53
132,Oistins,13.0667,-59.5333,84.29,65,40,16.11,BB,2022-02-02 17:23:47
133,Pilar,-9.5972,-35.9567,89.53,45,24,14.25,BR,2022-02-02 17:25:53
134,Saint-Pierre,-21.3393,55.4781,80.28,89,100,39.12,RE,2022-02-02 17:26:54
135,Kollam,8.8833,76.6,84.07,80,3,2.71,IN,2022-02-02 17:26:55
136,Auki,-8.7676,160.7034,78.35,86,100,6.15,SB,2022-02-02 17:26:55
137,Gorontalo,0.5412,123.0595,73.56,88,100,3.53,ID,2022-02-02 17:26:56
138,Santa Isabel,-23.3156,-46.2214,80.37,83,98,2.28,BR,2022-02-02 17:24:25
139,Stephenville Crossing,48.5,-58.4318,25.21,58,75,9.22,CA,2022-02-02 17:26:57
140,Ewa Beach,21.3156,-158.0072,73.69,82,0,4.0,US,2022-02-02 17:26:57
141,Cabo San Lucas,22.8909,-109.9124,76.6,40,75,12.66,MX,2022-02-02 17:24:16
