City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Lakes Entrance,AU,55.58,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
100,Ilulissat,GL,3.22,clear sky,69.2167,-51.1,Hotel Arctic
101,Kiama,AU,64.38,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
102,Kishi,NG,90.95,few clouds,9.0833,3.85,New NCCF KISI
103,Nikolskoye,RU,22.89,broken clouds,59.7035,30.7861,Tourist House - Sablino
104,Faanui,PF,80.56,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,Tahoua,NE,82.38,broken clouds,14.8888,5.2692,Bungalows Guesthouse
107,Champerico,GT,88.34,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
108,Antigonish,CA,32.27,light rain,45.6169,-61.9986,Claymore Inn and Suites
109,Putina,PE,48.36,scattered clouds,-15.4667,-69.4333,Hotel Isla Suasi
110,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
111,Wexford,IE,52.12,light rain,52.3342,-6.4575,Talbot Hotel Wexford
112,Vardo,NO,44.8,scattered clouds,70.3705,31.1107,Vardø Hotel AS
113,Torbay,CA,29.75,broken clouds,47.6666,-52.7314,Gallows Cove
114,Hobart,AU,53.46,light rain,-42.8794,147.3294,Mantra on Collins Hobart
115,Castro,BR,77.76,light rain,-24.7911,-50.0119,CHACARA BAILLY
117,Sweetwater,US,78.82,light rain,25.7634,-80.3731,Li'l Abner Mobile Home Park
118,Guerrero Negro,MX,59.97,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
120,Grand-Santi,GF,80.31,few clouds,4.25,-54.3833,Hotel La Villa Couacou
122,San Rafael,AR,77.41,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
124,Arlit,NE,75.49,light rain,18.7369,7.3853,Case de Passage De la Prefecture
125,Jardim,BR,86.7,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
127,Ancud,CL,74.43,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
129,Victoria,HK,60.94,broken clouds,22.2855,114.1577,Mini Hotel Central
131,Cananea,MX,48.74,broken clouds,30.95,-110.3,Casas Montoya
132,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
133,Pilar,BR,89.53,light rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
134,Saint-Pierre,RE,80.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
135,Kollam,IN,84.07,broken clouds,8.8833,76.6,Nani Hotels and Resorts
136,Auki,SB,78.35,clear sky,-8.7676,160.7034,Auki Motel
137,Gorontalo,ID,73.56,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
138,Santa Isabel,BR,80.37,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
139,Stephenville Crossing,CA,25.21,clear sky,48.5,-58.4318,Henrieta's Hospitality Home
140,Ewa Beach,US,73.69,few clouds,21.3156,-158.0072,Uncle Junior Robert
141,Cabo San Lucas,MX,76.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
142,Petropavlovsk-Kamchatskiy,RU,25.39,scattered clouds,53.0452,158.6483,The Hotel Petropavlovsky
